Content,Date
Aug.19The staff unprofessional ask a lady for help she was not willing to help main while the store had 30 mins until closing.Electronic department is gone by 10:15 and there is no body will to help . Two staff members counting the register told me that everyone went home all ready but yet they closings out the department.At the end of the day this store is not the store to come to for anything. Stay away,2023-01-07
"Worst Walmart I ever been to...Workers Are lazy,Box all in aisles. No plastic bags for fruit and vegetables. Out of the whole store I only ran until 3 workers that took there job seriously. I ask a worker to help me get something and I'm disable she told me she work for Walmart not me. If this is the only way for NYC to have one they need to shut down if not planning to get better.",2023-01-05
"The food, lunch meat and cheese spoil quick. A month ago I bought Great Value seasoned fries and they were molded. The cashiers are scanning items more than once so I have to watch them scan every item. This store is the worst. I go for the prices but if you want quality you won't get it from this Walmart. I guess you get what you pay for.  They need to shut this Walmart down...",2023-01-05
Used Sinus Inhaler on the floor which is a crazy health violation. they wouldn’t give me the price shown on the picture claim it’s been used or broke which is why it’s on the clearance. Claimed to not know why it’s on clearance. But that’s clearly just nasty why would I want to use a used sinus inhaler that someone else put their snot and mouth in ?,2023-01-04
More than half of their luggages don’t have price tags and I must say they have the worst customer service in all the walmart locations have been to. I wait over 1hr just to get help with price tag. They kept pushing me around and didn’t show concern until I had to speak out! Terrible experience for someone that wouldn’t want to make a scene .,2023-01-07
"Saw two people fighting outside by the parking lot, and then others joining in, laughing and trying to cause a bigger fight. Inside the store, it was very crowded and the merchandise were not all that organized. Lines were all over the place. Overall, pretty messy, very loud, and just chaotic. Will be avoiding this location if possible.",2023-01-07
"lines are out of control, customers are lining up in the clothing isles.it’s not a normal respond to look into the clothing isles to see where the line ends for the cashier.customers walking up to the cashier will get yelled at by customers lining up IN THE CLOTHING line LOL!CASH OR Credit cards only.lots of items have no price.",2023-01-07
"Walmart, Green Acres Mall is a place I love to go shopping. Recently I was there with my daughter and grandson and we found every thing we went to shop for. Shoes for him, groceries (those Challah breads were done in three days). Always friendly sales associates nearby to help. It's really a pleasure shopping there.",2023-01-06
Horrible walmart. It feels unsanitary from the walk-in. I was flabbergasted by how they had the baby formula under what seemed like levels security.  I'm trying to get Enfamil not through TSA. The attitude of some of the workers was mind-blowing. The worst Walmart  ever and I will never be back,2023-01-07
"I went grocery shopping at  Walmart, every time I visit I have to wonder if stuff is being given away why the cashier lines are so long.Even the self check out lines are no way shorter. I found what I needed ,and I believe I actually spent about a hour and 20 minutes from entering to leaving.",2023-01-07
"This walmart compared to others is like getting into the ghetto. The store is mainly FULL, a lot of areas are not restock (electronic, food, others...), personal is not polite and are not aware of the concerns of people. I will preferr to go to the ones in NJ or the ones in Nassau county.",2023-01-08
Shopping here is a nightmare and an absolute frenzy. Some employees seemed helpful but self checkout is run by your typical ABW who for some reason spends time scolding customers about how they don’t listen or pay attention even though they weren’t even properly moving along the queue,2023-01-06
Tried to call but got no response for more than ten minutes!! How absurd!! You have lost a loyal customer!! I have been going to this Walmart since 2000!! My children and I love this store and it’s a shame how we won’t be able to go back there….Have a good life Walmart (not),2023-01-07
"one of the best walmart in New York where there are vegetables, fruits and salads! It is simply incomprehensible to the mind that in our century there are supermarkets where there are no healthy vegetables, fruits and salads at all! To the trash of such General Managers!",2023-01-01
"It is a very attractive and good place to buy. It has a lot of food, homes, kitchen, and supplies that it can take some time to look around and see what you need. Although it is always packed and a lot of people do it may takes some time to walk around and pass through.",2023-01-05
This based of delivery! My last four deliveries from this store my food came in scented garbage bags! They also mixed raw food with bleach! When I try to call the store I can’t get through. I would not recommend ordering anything for delivery from this store!,2023-01-04
"Just way too over crowded. Finding parking os like playing musical chairs with cars. When you finally get in, it's as if the store is having a black Friday sale everyday.  I prefer to oder what I need online and leave it at that.",2023-01-08
Jane at the returns counter is the worst . I was trying to return an item and she said I need to cancel the return on the app which it had no option to . The other guy at the counter completed the return within a couple minutes,2023-01-02
I go there because I have to. There are boxes all over the aisles waiting to be unpacked making it difficult to push a cart through.  The shelves should be stocked during the off hours. The grocery area is a disaster.,2023-01-04
Always too crowded. Parking is a nightmare. Half of the young staff do not know where anything is. Not much help there. I don't understand why you have to bring your entire family to Walmart to shop for bread 😕,2023-01-05
"Horrible Experience, My Father is temporarily disabled due to having 2 Hip Surgeries and they expected him to walk into the building to get an electric Scooter and then walk out the building without the scooter",2023-01-07
"Есть буквально все, что необходимо. Некоторые товары отсутствуют для покупки в магазине - необходимо заказывать онлайн. Работает с раннего утра и до позднего вечера. Народу всегда много, но закупаться можно.",2023-01-07
"I love Walmart. It's a bit  crowded, but I rather go here than to a neighborhood Keyfood or any other supermarket. I can buy food, walk down 2 or 3 aisles and get some stuff for my home. Favorite store",2023-01-07
Return employees all terrible!!! Very rude and disrespectful rai especially Racism!!!! Please coach them to nice with customers!! We’re the one who pay them!! So try to give customers great service!,2023-01-08
"Crowded as usual, especially on the holidays. If you're patient, you'll get through the lines. Sufficient self check o uts and open cashiers. Once again, patience is the key. Happy shopping.",2023-01-05
"I really  don't like that popular  Walmart  it always growed, and  people there are mean I think it the customers  .just from everywhere, it may be because that is the only  1 that is close",2023-01-02
"I chose delivery on the Walmart app, and more than 10 of the more than 30 items were out of stock. They even told me that they didn't have tomatoes and apples, even the most basic things?😰",2023-01-07
Just too crowded the lines where atleast 30 min on a sat they only had 3 registers open and everything else was self checkout then 10min on exit because the door security was even slower.,2023-01-05
Awesome bad experience with the new card only system sucks rocks. Causing many upset 😡 consumers to verbally lash out at the store staff members of Walmart..get together  valley stream,2023-01-02
"The most disgusting place, worst people fighting with each other about anything and everything.  Find a whole bunch of everything but nothing thats needed.  Ugh never going back.",2023-01-03
"I used to go to a Walmart at White Plains, New York, and they close over 10 years ago. And it's so hard to get to a Walmart. Because you need a car badly. They need more worker",2023-01-05
This location is like a flea market im sorry to stay it being th only near to queens and Brooklyn so you can imagine the amount of people and don't think of going on a weekend,2023-01-08
"Walmart in valley stream is great, they carry so many products that I can't find anywhere else. But k recommended shopping there in the early morning before the crowd.",2023-01-07
"Huge Improvement the area looks neat , the check out are quick and the prices are right. Except for the girl that checks the receipt she doesn't look too happy",2023-01-07
"I love the Walmart in Valley Stream, NY. It is a lot more organized and I can find all the products I like for my family and my dogs just by making one stop.",2023-01-07
It's been years since I've been inside Walmart it was everything I remembered it to be and better I'm gonna make it my normal spot to food shop every month,2023-01-06
Inaccurate Times listed for delivery opening.  Deli was listed at being open at 7 on the website and wasn't going to be open till at 830 in store.,2023-01-07
Great prices overcrowded though people are super ghetto meaning the customers and it’s just like being in a zoo out of control 🤦🏽‍♀️,2023-01-07
This place has a great collection compared to other Walmarts and is well stocked. Like the other places it’s difficult to find help.,2023-01-07
"Se viera mejor si estuviera mas organizado y mejor surtido, de la caja tuve que devolverme porque la carne que tome no tenia precio",2023-01-08
First and last time.  Not a great experience at all. The only great thing about Walmart is the sweet girl Abigail that works there,2023-01-01
"Me encanta esta tienda,buenos precios, comida frescas ,solo ten pasiencia los fines de semana la fila es grande para pagar 🤗🙏🏼",2023-01-02
Very large Shopping Department! It has just about anything you can think of. Clean and crowded. Large Parking lot for Customers.,2023-01-05
"Muchos productos lo unico malo es la atención, las personas mkrenas son demasiado groseras y el servicio al cliente es pesimo",2023-01-05
"Can't beat the prices at Walmart, I wish they have stores all around nyc, I have to come here all the time but its worth it.",2023-01-01
Extremely crowded stores. I saw a lady packing her bag with stuff off the shelves. Back to school supplies isles were empty.,2023-01-06
Went looking for automobile supplies and ended up having to order them online because shelves in that section were empty.,2023-01-06
Great selection of merchandise to choose from and cleaned stores and staff were great and professional and knowledgeable,2023-01-05
Mmene mungapezere Zinthu mmene Mulungu wanga ndi mwana wake kwa anthu amene ali osowa pa intaneti ya mmene mungapezere,2023-01-07
"Extensive, clean and a lot of variety.You can eat something since there is a Subway.It has its renovated bathrooms.",2023-01-07
Too full in the parking lot and inside. Extremely under staff and they don't seem to know how to do their job.,2023-01-03
Great experience. Went in and out quickly. There was a cashier that was very helpful thank you. I Love Walmart,2023-01-07
"I just love Walmart..the workers are so helpful, the store is always clean.. Love the prices..yeah Walmart...",2023-01-05
Website for online purchasing is a little complicated when checking out. Curbside pickup was easy and smooth.,2023-01-05
The service was very bad and very slow they talk with the people and spend time with our seeing the costumers,2023-01-07
"Terrific, I found everything I needed to get. Service was great and at checkout was helpful and friendly 😀",2023-01-07
"Very unorganized, mallets blocking aisles, products not on shelves, and only using two cashier's machines.",2023-01-07
"Typical Walmart with low stock, misplaced items, and low staffing however this one is much more chaotic.",2023-01-03
Se encuentra de todo lo que buscas aunque en las tardes es un poco lleno es mejor visitar en las mañanas,2023-01-05
This was a great Walmart. I never shopped at this location before but I found everything that I needed.,2023-01-05
"Usually I get everything I need. However, it is always too crowded and lines are just too long to wait.",2023-01-07
"The guy checking for receipts was very rude. Other than that, I had a great experience at this store.",2023-01-05
Grossly over crowded and conditions were unkempt. Products out of stock and services not available…,2023-01-02
"Great prices, but make sure you go early. It gets crowded, and a lot of items get brought quickly.",2023-01-04
"Customer Service very slow, long line .. only had 1 person attending customers when i was there",2023-01-05
"Very crowded, long lines, not enough cashiers, not enough floor staff.  My last-resort Walmart.",2023-01-06
WAY TOO CROWDED FOR A WEEKDAY! NEED TO HIRE MORE ASSOCIATES & PAY THEIR EMPLOYEES MORE MONEY,2023-01-06
"Love this store! Has a Big selection, pretty well stocked.  Gets crowded but worth the trip.",2023-01-07
Pretty big store but the lines are crazy. Looks like a lot of people occupied parking lots.,2023-01-07
Walmart is really good store I’m shopping here since long time everything is available here,2023-01-07
They need to organize this store a lil more and restock on T shirts for men and boys!,2023-01-06
The checkout market twice one item had to go cost÷mer service editing patiance.bummer,2023-01-07
"Jahson works quickly and precisely at the checkout at Walmart, Green Acres.👍🏿👍🏾",2023-01-05
"This walmart is always extra packed, but they have more than other walmarts near me",2023-01-08
I went shopping there I bought eyeglasses from there things that I need from there,2023-01-06
Well-stockedwith a Wide Variety of Products. Good Fresh Produce and Helpful Staff,2023-01-05
For someone coming from outside the US Walmart is just unbelievable in its scope…,2023-01-07
"Was out of stock of a lot of items. Some staff were busy, not willing to assist.",2023-01-05
Has everything as every Walmart does. Crowded as every Walmart is. Great prices.,2023-01-05
Conseguí todo lo que buscaba me ofrecieron ayuda.y fue rápido la fila para pagar,2023-01-07
"Great prices, not as spacious as other locations, tons of items. Always crowded",2023-01-05
"So-so, it was crowded. There wasn't any sales that were overwhelming great.",2023-01-05
Yo siempre eh dicho q esa super tienda es una de las mejores 👏 👏 👏 👏 👏,2023-01-05
"Everything you need for a cheaper price, expect long lines on the weeekends",2023-01-07
"Very wide verity, but they need to have a better stock replenishing method",2023-01-03
Its good but it would help if the self check machine wasn't always broken,2023-01-07
Didn't go inside waited in my car for someone to come back. To congested.,2023-01-07
It wasn't as bad as I was told. Was able to get what I wanted and left.,2023-01-02
This walmart is always busy but I can say they always have what I need,2023-01-06
"Worst store I have ever been to, my foot will never step in it again",2023-01-08
