Content, Url,Date
" must for Apple users... But I wish some things were different... I've had this mouse for about a year now - and I actually purchased another one to use with my MacBook (still in the packaging, because.. well- I never really need a mouse when I'm just on my laptop.). I use this mouse with my daily iMac and it's awesome for the touchiness of it, I love the feel and being Bluetooth is AWESOME, because I don't love cords all over my best.My big negative for this is since Apple has changed their cords, when I go to charge it, I can only do so off of my laptop, and then I have to reconnect it from the Bluetooth features with a raggidy old plug-in mouse that works with my older model iMac to get to the settings (That's still alive and kicking and my daily driver after a solid 10ish years! Long live Apple!). I do love how long it stays charged. I probably charge it less than twice a month and I spend quite a bit of my time at my computer for my work. Highly recommend if you want to keep your desk neat and tidy with minimal cords and a sleek look.",-,2023-01-02
"It works! My son really loves this mouse! It delivers on all the promises. Holds charge gor days, ergonomically designed, light weight, stores easily......and the list of attributes goes on and on. Money well spent.",-,2023-01-02
 fast and perfect I loved the product and the speed and care in delivery,-,2023-01-02
" Magic Mouse Great product from apple. This mouse is very easy to install and use. However the ergonomics are not that great. After you use the mouse for a while your hand will feel tired. I do recommend this mouse if you are using it for travel purposes, but as a main mouse will choose a more ergonomic mouse.",-,2023-01-02
 Great Apple product Apple's Magic Mouse works like it should. What I like about this mouse is that it works very smoothly and with precision. What else is needed?,-,2023-01-02
Great mouse Tried buying a couple Mac compatible mice to only have to cave and get a Magic Mouse. I dream of a mouse with track pad included. I like that it can be customized to your preferences with right click and swiping. Battery life is awesome. My only complaint about this mouse is the weight. It's rather heavy for a mouse hence the 4 stars.,-,2023-01-02
" Battery life I do a lot of photo editing, in my eyes 😁That being said… I HAVE CHARGED THIS MAYBE THREE TIMES IN TWO YEARS 🤷‍♂️😌🎥If you are looking for a mouse, that is seriously good on battery life, LOOK NOT FURTHER",-,2023-01-02
" Its really cool but im still getting used to it i really like it o far, like I said Im still messing around with it and so far its okay",-,2023-01-02
 Tremendous Excellent product you feel the difference,-,2023-01-02
 Pretty much a new product They said it was refurbished but for me it was good as new works very well I recommend to anyone looking for a mouse for reasonable price,-,2023-01-02
Works great First time Mac owner. For my Mac mini. awesome.,-,2023-01-02
" Awesome Easy connect, long lasting battery life and is so simple to setup and use",-,2023-01-03
 Very good product In size it is small if someone is used to other traditional mice.,-,2023-01-03
" Works fine Works as expected for an apple product: perfectly. I do wish apple made an ergonomic version though! Pairs instantly, good battery life.",-,2023-01-03
 Works just as expected! Don't like turning mouse on side or upside down to recharge. My Magic Mouse is modest.,-,2023-01-03
" It's alright Don't know wether I want to return it or not, I turned the tracking sensitivity all the way down for the mouse & it still flies across my screen & sometimes when I go to click on an app to get back into it, the mouse makes my apps shake like I'm editing & it's super annoying",-,2023-01-03
"Great mouse! Only one complaint though The mouse is sleek, smooth, modern and really easy to setup. I haven't yet understood why it's so high, I'd say maybe 49.99 at the most. But my complaint is the charger placement..I hate how it sits when charging and you'd think that once dead, it can be used while charging, but that's impossible. Still nice tho.",-,2023-01-03
" Comfortable and functional It is the best mouse that I tried. I had some generic ones, but nothing like this. It is comfortable, easy to use and functional. I hesitated a lot because of the price, but it totally deserves it!",-,2023-01-03
 I loved it Awesome,-,2023-01-03
" It's Apple. They know what they are doing...can't fight it anymore. I've always been a PC guy and recently transitioned to Mac. When you look at the prices on some of the Apple products, you balk. I'm glad I made the leap. It's well built, ergonomic, and once you get the feel for the features and controls, you'll love it. The value is underrated.",-,2023-01-03
"Apple Quality - Apple Performance Some re-learning needed, but an excellent mouse.",-,2023-01-03
" Great Mouse This has several features that if someone (not my age) knew how to use them it was great. I was unable to figure it out. My fingers are large and the mouse is regular size and I kept hitting or scrolling where I didn't need to be. However, I would recommend this.",-,2023-01-03
 Rechargeable Just so sleek and works like a dream. Did I mention rechargeable? Great new toy I got here. Thanks Apple...,-,2023-01-03
 Rechargeable mouse Lower profile than old mouse battery rechargeable hopefully will get the same life as old one...Time will tell !,-,2023-01-03
" Amazing Product Very easy to configure... I bought this for my new MacBook Air, it works amazing.Very smooth, the perfect complement for my laptop",-,2023-01-03
 Works great! This mouse works really well!,-,2023-01-03
 Authentic Apple Real Apple product. Delivered quickly with 1-year Apple warranty.,-,2023-01-03
 Poor choice Apple Placed charging port on bottom of mouse so it is unusable when charging,-,2023-01-03
"Responsive, light, and smooth Short of it, this is an excellent product. Long description… I was reluctant to pay the higher price for the services of a mouse but I did. The mouse is very responsive to light touches and super smooth when using the scroll. I changed to a Mac for work after many years using PC only. I thought I would regret losing the wide array of options for a mouse. Six months later, I have to say, there may be some plus and minus features moving between Mac and PC. The Magic Mouse is a huge plus for the Mac experience. The shape is sleek for sliding into my backpack and slides with easy when in use. There is no stutter delay when scrolling like you might experience with a PC mouse. Whenever I use a PC now, I wish there was an equivalent quality mouse that would work this good without any fuss. I use an Arc Mouse on my PCs so you would think the performance would be on the same level but sadly, it is not. It looks like an inconvenient hack to make this work on my PCs also but who knows, it might be worth the trouble.",-,2023-01-03
works great works as advertised,-,2023-01-03
"Not Apple's best product, but gets the job done If you have used one of these mice before then you don't really need a review. I'll just say it looks nice in black although it starts looking dirty slightly easier than the white one. If you haven't used this product before, these are some important considerations: a. It's the most Mac-compatible mouse that I know of, it being from the same company. So you'll have access to all the nice gestures and features. That is a huge plus if you're a fan of the MacOS interface. b. Its biggest flaw by far is the charging situation. The charging port is BELOW the mouse, making it physically impossible to charge the mouse WHILE using it. Battery lasts for a long time though, so it might be very rare that you cannot use it because it's charging--just remember to do so while you're away and you'll be good to go.c. As I mentioned, battery life is really good. You can also leave it sleeping without turning it off and nothing bad will happen. I think I charge mine every couple of months, with 3-5 days a week of usage. d. If you want this for gaming, DO NOT BUY, as you have no buttons, scroll wheel, and the sensor is fully tuned for everyday browsing and editing and not for precise movements, and its movement is very assisted (although I'm not sure to what extent that's on MacOS's side). About looks, it definitely looks nice both in white and black. Its wireless so it looks nice and elegant.f. On build quality, some units are not on par with the best of Apple's products, but it is still very solid. It definitely doesn't feel cheap although it's definitely pricey for what it does, considering that it hasn't been upgraded in many years.TL;DR: 4/5 stars. Negative: charging port, price. Positive: MacOS gestures, long battery life, looks a feels good.",-,2023-01-03
"Great... With a design flaw Love the functionality of the mouse. However, placing the charger poses a bit of an issue. Some users of this device including myself occasionally use it until the last potential second however when wanting to charge it, you're forced to flip it and then charge it as the charging port is on the bottom of the mouse which then means you'll have to wait till it's charged to amount of your liking until you can then continue to use it. I'd prefer that they redesign the product to allow charging while using it.",-,2023-01-03
" Works Well... Never figured out why my older Mac Mouse was ""misbehaving"" but happy to have a quick replacement. Battery lasts a long time before needing to be plugged in for recharging... usually when I am done on my iMac for the day. Happy purchase.",-,2023-01-03
 Very comfortable! Comfortable and high technical level!,-,2023-01-03
 Regular for its price Sometimes slow by Bluetooth,-,2023-01-03
Easy Peasy set up! I love the ease of setup and the convenience of wireless. We'll worth the price!,-,2023-01-04
" This mouse has an invisible scroll wheel I use the ""Scroll Reverser"" app with this mouse. THE MAGIC MOUSE HAS AN INVISIBLE SCROLL WHEEL! You touch it with your index finger to scroll up and down. I did not know about this at first, then someone online told me about it. This is an ergonomic mouse useful for many apps in macOS. I don't know how well it works with games but I've used it with Web browsers, Mail, Spotify, and Calculator and it works just fine. High quality materials were used to make this device.",-,2023-01-04
"Comfortable, responsive Touch pads stress my index finger and thumb of my dominant right hand, but a mouse (and who uses a wired mouse these days?) provides more versatility of movement and relieves the pain. This design is sleeker and flatter than others I have used, and it's easy to forget it's there. The settings allow for fast and responsive movement. It works well on most surfaces except for highly reflective surfaces like glass.",-,2023-01-04
 Easy to use & stream lined Love the feel and is easy on the hand,-,2023-01-04
 Great buy Great buy for macs,-,2023-01-04
 Just what I needed for school and work Easy to use and really am glad I bought it,-,2023-01-04
" Nothing compares to the magic mouse I thought I lost one of my magic mouses. Of course after I order one, I find the original. No worries. Now I have a travel mouse.",-,2023-01-04
 Magic Mouse Very sleek and lightweight.,-,2023-01-04
 As described I received this new in the box as described. I like it. Works well with my Mac and worth the extra money.,-,2023-01-04
"Nice touch I had been without a Magic Mouse on my Mac for quite some time (I want to say maybe 10 years?) as the one that originally came with my iMac died after the alkaline batteries had leaked. To be perfectly honest, lol, I just bought a wireless aluminum Mac keyboard and decided I need things to match! I know… Outside of that I, really do like the new version of the Magic Mouse. As Apple goes, the mouse has a great sleek design and I greatly appreciate the technology behind the capacitive tap for clicking and gestures. My only minor complaint is that I find a bit of a narrowed grip because of how angular the sides of the mouse are. I find that when I squeeze the sides of the mouse, the grip and movement are a bit uncomfortable when I have to give the the Magic Mouse a really good squeeze when I lift it off the mouse pad while using it. Resultantly I purchased, here on Amazon, these black bumpers that affix to either side of the Magic Mouse which creates a flatter, vertical surface on each side, which makes for a less straining grip. I love the long lasting internal battery and for any complaints you read about, recharging from the underside of the Magic Mouse is a minor inconvenience; it's no big deal. If the battery gets low and I need a mouse for the next hour I just plug in a wired one and keep going until the Magic Mouse completely re-charges. So I give this mouse a 4, only because of the slight narrowness that I found for my use but overall really like it.",-,2023-01-04
"Great gift I bought this for my dad as a gift. I probably would have bought a cheap $10 one personally lol but it's my dad so…. He got himself a new MacBook Air and was struggling with maneuvering the touchpad. It's not the easiest. Anyway he was like “why'd you spend so much on a mouse, I don't need one” and I told him he does and a few days later he was excited to tell me he loves it and it makes using the macbook way better! He said it was very simple to set up and he's extremely happy to have it! I'm glad he enjoys his gift, definitely a good buy for an elderly person if they need help using the laptop. He said the instructions were really easy too. He's kind of tech savvy with apple products anyway. My old MacBook Air can use just a regular mouse with a usb blue tooth plug so I probably would never make this purchase for myself but if you have a new MacBook it's a good idea to get this mouse. You can also right click apparently so I need to figure that out.",-,2023-01-04
 The best The best,-,2023-01-04
Slow cursor even after changed to fast Speed of the mouse is slow.. yes I went to settings and changed to fast. Still very slow compared to my $30 cheapo I broke but couldn't find to reorder. Thought I'd go Apple and be happy… not really,-,2023-01-04
 Good for general business use As someone who works in Human resources and is constantly clicking all day I have found this magic mouse to be my best friend. Others may disagree I know I did once I first got it but after a while I got used to it and figured out how to configure the mouse to my liking. The battery last a loooong time before it needs to be charged. My overall rating for this mouse 9/10,-,2023-01-04
 Fits hand Like everything about it,-,2023-01-04
Better than previously released I had an old Magic Mouse that took batteries. It seemed like I had to recharge the batteries daily and became a hassle when I had to in the middle of doing something. This new Magic Mouse holds a great charge and is so much more reliable. It's been two weeks since my last charge and I'm still at 70% battery! I would definitely recommend this :),-,2023-01-04
 Good mouse but noisy Mouse works well. Need to adjust the sensitivity settings on the Mac to get it just right. However the mouse is much louder on clicks than I wanted. I used another mouse prior and it didn't make a sound.,-,2023-01-04
" Works so far so good. Wish the price were less intense, though. Sheesh. It's just a mouse.",-,2023-01-04
"Nice features, horrible ergonomics Lifelong PC user that needed a mouse for my new work Mac. I splurged on the Magic Mouse. The scrolling and swiping movements work well once you learn them, but i had to buy a palm rest and bumpers to make this mouse more ergonomically friendly. The small sleek design - I have no idea who would like it b/c it caused a lot of pain in my hand. Once I modified it, it's been a bit more comfortable, but I really don't get why they make it like they do. So.... nice functionality, awful comfort level.",-,2023-01-05
 I'm not liking blue-tooth. I could not get the mouse to connect. I returned and bought a USB transmitter mouse.,-,2023-01-05
 As expected No issue with this product. Strongly recommend.,-,2023-01-05
" Best mouse, ever I love this mouse for apple Mac or Ipad. The finger time side or up-down scroll is great. Also like the double light tap zoom. Quality and smoothness is not equaled by any other mouse that I have used.",-,2023-01-05
 Works well Works great love it,-,2023-01-05
Fast service Fast service and great item!,-,2023-01-05
 Not as magical could have been better.,-,2023-01-05
" If you need a Mouse to go with your Mac, look no further! I use this mouse on a daily basis. I love the touch response and the design. Some reviews have noted that the design is not ergonomic for long term use, however, I found this not to be the case. I'm taking several design classes this semester and I'm on my laptop constantly. I use this with my MacBook Pro at home and on my iMac when I'm in the office or at school. It easily transfers from device to device. I've had this mouse for about a week now, out of the box, and I haven't had to charge it. So, whether you are switching between pages on the desktop, browsing web pages, or immersed in a design project, this mouse works great. The only reason I marked this product 4 out of 5 stars for gaming was because that's not what this mouse was designed for.",-,2023-01-05
"Ideal, perfect! Very good product and very comfortable to use, I use it to work with a MacBook Air 13.6 M2",-,2023-01-05
 Cheaper plastic parts more and look It's not the nice metal ones Apple use to make. Even the keyboard is plastic now. Cheap product sold at the same or more price. It's questionable how long this will last.,-,2023-01-05
" Not for video editors This is really a great mouse. But if you're looking at this for editing video, look at the trackpad instead. For me, the one fatal flaw that made me switch to a trackpad was the inability to zoom. While editing, there are plenty of times I zoom into the timeline to make an accurate cut in video/audio. Having to switch to my keyboard to shortcut zoom wasn't working for me. If you aren't planning to use this for editing, then definitely get it. If you are, give the trackpad a shot.",-,2023-01-05
It's alright but among other choices not the best It's alright works well connects well. Clicking is a little meh scrolling is meh. The whole top is a touch pad. It's more touch pad than mouse. If you've come from windows mice it may not be for you. Max master 3s is an amazing alternative. The mouse moves around well but clicking and right clicking can be a little off. Scrolling on the touch pad gets a little tiresome and your hand can't really rest on the mouse. 3/5,-,2023-01-05
"Works great, frustrating charging The mouse works fine and fits my hand fine. That being said, since it's the same shape on both ends, it's a guarantee that I will always set it down the wrong direction. There is an apple on the bottom but that would require looking at it when I start to use it. :). My biggest frustration with it is the charging. I'd much rather pop a battery in it once a year like my old mouse. As others have said, the charger input is on the bottom of the mouse so I can't use it while it's being charged. I have read that a full charge lasts about 30 days and I'm not finding that to be true, I believe last time it lasted a couple weeks. I'm charging it now so will record which date it's fully charged and report back on how long it lasts.",-,2023-01-05
" Mouse is a Mouse is a Mouse What can I say about the ubiquitous, smooth and reliable mouse? It does the job. It doesn't let me down. Not much more to say other than when you charge it, do it a night when you don't need it!",-,2023-01-05
 Fun The magic mouse is really fun to use because of the gestures. To get the most out of a mac you are going to have to use their products I reckon.,-,2023-01-05
" Wonderful I spent a lot of work with cheap mouses on my Mac because they disconnected until I bought this one, excellent quality like everything from Apple that are very good, a super durable battery, excellent mobility and excellent quality material, it is more expensive than average but worth the investment for such a product",-,2023-01-05
" Looks NEW - works perfectly, Came in what looks like original Apple packages with everything working. Can't see any scratches or dents... looks brand new. works perfectly. Glad to save the $.",-,2023-01-05
Very sensitive The mouse is very sensitive so for gaming it's not that good. I kind of don't suggest wasting your money on this when you can buy a bluetooth mouse with a type c dongle or an extension for your mac which isn't that expensive.,-,2023-01-05
 Same as my old mouse Works the same as my corded mouse. No problem.,-,2023-01-05
"Great mouse by Apple I bought this mouse to use with my work laptop (a Mac) which pairs seamlessly. This mouse uses touch technology so you can swipe on the top to navigate up and down, sideways, and back page if you're in a browser.The charging port on the bottom doesn't bother me (but some people have issues with it ) - I plug it in when I'm done for the day or wait until the weekend when I'm not using it. The charge lasts me almost 4 weeks and I forget to turn it off when I'm not using it. Your mileage my vary (YMMV). You could buy a cheap mouse but you're going to get a basic functional mouse - which a lot of people are okay with. Or you can this mouse and have the same functionality as your laptops track-pad. If I wanted a regular mouse I would have bought a PC with Windows. Instead I buy Mac products because they are built with higher quality and last a lot longer than a PC base component.",-,2023-01-05
"Awesome mouse This is a great mouse. Pairs seamlessly. This mouse is light weight, glides with ease. You are also able to change the speed of the cursor to your personal liking. I would definitely recommend. Downside is that you can't use it while charging but, the battery life on it is awesome.",-,2023-01-05
" Totally compatible with the IMAC Pulled it out of the box, immediately synced with blue tooth on the IMAC. Went to work! Can't beat that ease of operation.",-,2023-01-05
 Good Like it a lot,-,2023-01-05
 Works well with my MacBook It's a good size linked up immediately very pleased,-,2023-01-05
 Good finish and quality but... Nice quality and finish but not very eronomic. Better off spending less money on a Logitech MX mouse. This is pretty much the same with all Apple keyboards and pointing devices. All nice quality but just not as easy to use as non apple keyboards and mice.,-,2023-01-05
 The most comfortable mouse for me The most comfortable mouse for me,-,2023-01-05
"I'm in love with my Magic Mouse I purchased a MacBook Air and the scrolling was jumpy with other mice but the Magic Mouse is comfortable, sleek and so much fun to use. The scrolling is very smooth and you can scroll left to right also. Not to mention all the gestures I'm learning. A must have!",-,2023-01-05
"Good for work, Bad for Gaming, Overpriced. This mouse is an ergonomic nightmare. The sides are sharp and their is nowhere to rest your thumb. Their is a critical design flaw where you cannot use the mouse while it's charging due to the charging port being on the bottom of the mouse. This mouse is very bad for gaming; First person shooters for example require you aim down sights by holding right click in order to accurately fire but you cannot left click while holding right click and vice versa. This means you can't fire if your aiming; making playing fps gaming impossible. The scroll well is digital but is pretty responsive. This mouse is good for work but ultimately overpriced. It's main selling point is ""it's the Apple mouse"". Do with that what you will.",-,2023-01-05
"Not a sensitive mouse Apple has never been known for its mouse's sensitivity, but they seem to be getting worse with each model. I can cope, but it's annoying. Was on a conference call and couldn't get the track where I needed it. Said, “oh new mouse, too,” and my participants said, “you must have an Apple mouse.” Summed it up perfectly.",-,2023-01-05
"Not a great mouse I bought this mouse for smooth scrolling, like my Mac trackpad, and basic gestures. Since it's a touch surface, half the time when you try to click, it also scrolls slightly at the same time, making you miss the button you're trying to click on. Since the surface of the mouse is plastic instead of glass, the scrolling experience is only smooth if you have very dry skin, any little bit of oil or moisture and it feels sticky and the gestures are difficult to perform. There is also no way to perform a middle mouse button click, and back/forward gestures only work in specific apps that have support for this gesture. And of course they put the charging port on the bottom so you can't use it while charging. On the plus side, it is easy to pair and has a very good Bluetooth polling rate so it is relatively lag-free, for a bluetooth mouse.",-,2023-01-05
Love The Mouse I guess I'm an old dude but I really never like the track pad when working in excel. So I went back to the Magic Mouse and couldn't be happier! Holds a charge that seems like forever and feels good in the hand.,-,2023-01-05
 Works great Its an apple product works great,-,2023-01-05
 Exactly as advertised. Love it! So far I'm loving it. Absolutely love the fact that it is rechargeable. It gets the job done well.,-,2023-01-05
 beautiful perfect,-,2023-01-05
 I love these So glad I bought one.. makes things a lot easier.,-,2023-01-05
 it's magic! I needed a new mouse for my Imac and this one is the best.,-,2023-01-05
"Tons of gesture control, easy to use, great battery life Got this for my mom since my sibling got her a 2020 M1 Macbook Pro. All of the other mice on amazon that were Mac compatible were either entirely too cheap looking or didn't have the functionality that comes with the Apple ecosystem. This ticks plenty of boxes with minor cons. Nice job ApplePros:-Prompts for connection within seconds of powering on near the PC of choice-Great feel in hand and smooth glide (with a good mousepad, LTTStore is my choice)-Fantastic gesture controls! Just fiddle with the settings menu for a few minutes, I swear it could change the way you look at this mouse. It can have a right-click, it can zoom with a double-tap, and the scrolling feels natural; as if you were touching the screen and dragging the page upward/downward-Hilariously long battery life for something my mom uses 3-4 hours a day. She charges it once a week.-Included USB-C to Lightning cable (3ft/1m)Cons:-Dumb charging port location, IMO-DPI or its polling rate is too low, I can't tell but it feels utterly laggy at the initial movement and speeds up after a couple of inches-Pricing, but it is what it is. You pay for the ecosystem & it really pays off for functionality",-,2023-01-05
"This is perfect So I just bought the new Magic Keyboard with the track pad for my iPad Pro 11. The track pad on the keyboard works wonderfully well, BUT, I don't always like the use a track pad. Sometimes, a regular mouse on a mouse pad just feels right. I almost got another brand of Bluetooth mouse for my new iPad with keyboard set up but then saw that the Magic Mouse 2, in Space Gray, was available. I went for it. What the heck...all matching stuff...iPad, Magic Keyboard, Magic Mouse 2. It's magic. I've set up my iPad on my coffee table with the keyboard attached and like to sit back while lying on the floor with everything right in front of me. The Magic Mouse 2 just feels so good using it on the iPad. It was so simple to set up. Make sure Bluetooth is on on the iPad, then flip the little switch on on the bottom of the Magic Mouse 2...go to settings, Bluetooth....it will pair automatically after you click on the Magic Mouse 2 that shows up on the Bluetooth devices list. It was quick, simple and flawless. I went on the Mouse settings on the iPad to adjust pointer speed, scrolling direction and right or left secondary click. All set. I love this mouse. It's very small and portable too, perfect if you're now using your iPad as a laptop with the new Magic Keyboard. Apple does it again. Love it all. Oh, by the way, the Magic Mouse 2 now has a built in rechargeable battery; another big plus. Buy this.",-,2023-01-05
"Sleek and responsive and rechargeable I've had an Apple Magic Mouse since long ago that required batteries. That one lasted 10 years to get to those precision tasks I needed fine mouse movements. The door for the batteries was always tricky and finally stopped closing well. This rechargeable mouse I purchased with a new Macbook Pro has gone the distance and still only is half used up from the initial charge a month ago. It drops the sync very infrequently. It's a win for me and the black look matches up well with the keyboard, though the fingerprints do show more.",-,2023-01-05
"Fussy about the surface I don't know what is going on with these things. Mostly, I like the mouse. However, I prefer to use it on a cloth mousepad. It works fine for months and then it stops tracking in one direction. Remove the pad and it tracks fine over the bare desk. Same thing started happening with my first gen AA battery version of Magic Mouse. It just refused to work with the mousepad after working fine for years. The unit and its lens are clean, so I don't know if a sensor just gets weak as it ages. One day this Magic Mouse II would not stay connected to bluetooth... connect and disconnect every couple of seconds. I put it to the side to take to Apple under warranty. After several weeks, I tried it again and it was working fine.",-,2023-01-05
"Much Needed Replacement for Old Mouse I had been using an older Magic Mouse that was powered by AA batteries. It worked fine, or so I thought. However, for many months I had a persistent problem with my MacBook Air freezing up and having to be restarted in safe mode. At some point I began to suspect that my mouse was the culprit as the freezing only occurred when I was using it and never when using the trackpad. I replaced it with this rechargeable Magic Mouse several weeks ago. I have not had a single incident since then. Furthermore, having to replace the batteries is now history, and as a bonus the black version is very handsome and, I would say, worth the extra $20.",-,2023-01-05
 The mouse is great--my computer is not. The mouse is great. My computer is on its last legs. When the new computer arrives I know the mouse will be just what I wanted--I've used them before.,-,2023-01-05
"POOR DESIGN! charging is ridiculous. The mouse doesn't pair automatically with all Macs. Sometimes one actually must go into their bluetooth settings and make it pair. Heaven forbid your bluetooth isn't magically on when you launch a new computer or connected to wireless! Then you absolutely MUST have a backup mouse that is correctly designed so that it can actually be operational when it is plugged into your computer. As for the Apple Mouse, it CANNOT! THE PORTAL PLUGIN IS ON THE BOTTOM OF THE MOUSE! So no, you cannot use it and have it plugged in at the same time. And if it runs out or low on charge, you are SOL until you charge it up. The charge does not last very long either, only a fraction of my Magic keyboard. Currently I'm using an old school Logitech mouse with a handy little USB wireless plug tucked neatly into it's bottom that I can pop out and stick into my USB port just to write this review. It cost $10 and works great. Nuff said!",-,2023-01-05
