Content,Date
"Bought this for my middle son as a gift and it smells wonderful. A little goes a long way. I was concerned at first by the cost, but that left after he received it. It last all day and he doesn’t use a lot. It is going to last a long time. This in turn makes it a great value.",2023-01-05
"I read a lot of comments on the item as being fake. The cologne that I received is the real deal, the cologne box was plastic wrapped with the Dior sticker. I have ordered directly from Dior and this product was delivered the same way. Love the scent too.",2023-01-03
"&nbsp;My name is Rafael Rivera that's how the cologne came they busted came in the box it was busted so is busted till I don't know that's how it came pretty bad busted the other cologne was falling off so it was damaging the box there's the box
Ok",2023-01-05
I’ve been using and buying this cologne from department stores since it came out .. first time ordering threw this company and it’s like a watered down version .. it hardly has any sent .. contacted the seller and got no response.. 👎🏽👎🏽🤬,2023-01-03
"Received very fast and as stated.  I am disappointed though with the lack of long acting smell (weak after a couple hours)! Also came with missing liquid (leaking out from the bottle), and very hard time with Amazon for a replacement!",2023-01-01
It's not bad once the opening fades away to unmask the sweetness of the fragrance...i dont like the opening of the fragrance... longevity is lacking unless you spray 6-7 times... Maybe that's what you get out of the EDT...,2023-01-05
Dislike 👎 👎 the scent did not last at all I will not buy any fragrances from Amazon again. I looked pass some of the comments about this product but know I will pay more attention to them thanks but no thank you.,2023-01-05
"I've worn this cologne for many years and I highly recommend it smells great and I'm a very hard person so please that way...
But I guarantee you you're sent will be memorable every time you walk into a room.",2023-01-05
It does not smell nowhere near dior sauvage it smell like cheapest dollar store perfume .. it dont even last 10min I wouldn't recommended to use even as bathroom air freshner .. its garbage FAKE,2023-01-04
I have been buying this brand for years. I can tell it’s been water down and so can others than often smell my cologne! Sad if this is the case! Won’t buy from this vender again..,2023-01-01
My boyfriend loved this fragrance when sampling in a popular franchise store and I was happy to find it conveniently on Amazon and purchased it as part of his Valentine gift.,2023-01-05
"I found this on a recommended list, but found the smell to be kind of soapy. Unfortunately it's non-returnable but I probably wouldn't use this, there are better scents.",2023-01-02
Smells amazing long lasting too ! Wasn’t fake either unlike some of the reviews if I do get a bad order I’ll update .Will buy again when I use all this big bottle haha,2023-01-02
The Cologne was awesome. I bought it for my son for Father’s Day and then ordered it for a coworker. When he sprayed it it I had never smelled something so wonderful.,2023-01-03
"Pay close attention to your purchases, because there is a fake that appears a lot like the Dior Sauvage brand, but is not even close to the original.",2023-01-03
"I'm not a person that enjoyed complaining. However, I have been using Dior Sauvage for 3 years straight. The bottle I received this time, is fake.",2023-01-04
Bought for my husband as a present.. ended up being a present for me cuz it smells amazing on him and last all day.. definitely worth the money.,2023-01-02
Estoy aún probándolo. en mi caso no dura como antes pero huele muy bien. Tal vez deba dejarle macerar por 1 mes a ver si mejora su rendimiento.,2023-01-03
"Not as strong.
Decent scent.
Been using for a long time.
Over the time, Sauvage has lost the strength and people have gotten used to this.",2023-01-05
"My wife really loves the scent of this product…and I do too!  While it is pricey, it only takes a little bit to make the right impact.",2023-01-05
"This is not the real Sauvage Dior Cologne, it is a fake version of the cologne and anyone who buys it needs an immediate refund!",2023-01-03
All that matters is my son loves his gift. I wish I could have afforded the larger size for him. Even the cap is fascinating!,2023-01-04
Purchased this for my boyfriend and he loves it! It is exactly what is advertised. The scent smells so good! Def a good buy!,2023-01-03
"Las burbujas duran más de 12 segundos el olor no sé pero no me da como algo, tiene pinta de rellenado en embase original",2023-01-03
"Well I haven’t had one person comment on the cologne yet.
 I like it for me in general but over priced for no reactions",2023-01-05
Realmente no se que numeración debe tener para ser original pero en comparación con los originales no veo diferencias,2023-01-03
Bought this for my dad and he loved it. No problem with delivery which is good to know as it is a delicate  bottle.,2023-01-04
Got this for my boyfriend! Omg! He will never be without this cologne. We just call it his “Johnny” cologne 🤣,2023-01-03
This didn’t smell correct so stopped at a couple stores and they agreed something isn’t right with this item!,2023-01-04
"Delivery and packaging is awesome but the cologne itself is mediocre. I honestly,expected more but oh well.",2023-01-05
"I love this cologne, I’ve used it for years and have received a bunch of compliments on how it smells",2023-01-05
The scent does not last long at all. It’s almost like it’s watered down. Worst purchase I ever made,2023-01-03
"She loved this cologne, it arrived without issues and it smells real nice. Legit",2023-01-05
"Smells great and the scent lasts all day.  I love it, and would recommend it.",2023-01-05
Did not smell right. I’m used to this cologne and it doesn’t smell the same.,2023-01-05
Nephew was greatly appreciative and he smells like he acts ...wonderfully!!,2023-01-01
Superb mens cologne kinda pricey but enduring fragrance and long lasting,2023-01-03
Doesn’t last long my friends and family can’t smell it neither can I,2023-01-04
"A new scent for me, but nothing but positive comments from others.",2023-01-05
very decent price an the smell is amazing so good an authentic 👌,2023-01-01
no comprar  no sirve  no tiene fragancia  parece imitacion,2023-01-04
"Got this for my son and he loves it, long lasting also",2023-01-04
"Arrived on time, undamaged. Perfect gift for my son.",2023-01-02
It’s such a soft pleasurable smell not overwhelming,2023-01-05
"The smell is good; however, it doesn't last long.",2023-01-05
Spend a little more at Macys trust me its fake,2023-01-04
I am not satisfied!Thay don’t smell strong!,2023-01-04
The smell is just extraordinary..I love it,2023-01-05
Cheaper than store prices and smells great,2023-01-05
